superpowers|2026-03-29T07:23:18Z|2026-05-08T04:22:15Z|An agentic skills framework & software development methodology that works.|Shell|true|false
capitaine|2025-12-26T05:05:38Z|2026-05-08T04:21:37Z|Captain agent — vessel command and fleet leadership protocol|TypeScript|false|false
cocapn.github.io|2026-05-03T22:10:07Z|2026-05-08T04:21:08Z|Cocapn fleet home page — live at cocapn.ai|HTML|false|false
plato-agent-academy|2026-05-05T04:09:31Z|2026-05-08T04:11:41Z|Agent Academy for PLATO MUD — zero-shot agent training, power packs, captain's chair protocols|Python|false|false
smartcrdt-git-agent|2026-04-14T17:34:00Z|2026-05-08T04:11:38Z|Co-Captain of SmartCRDT monorepo|Python|false|false
flux-certify|2026-05-05T06:22:10Z|2026-05-08T04:11:36Z||Python|false|false
flux-core|2026-04-10T16:47:32Z|2026-05-08T04:11:34Z|FLUX bytecode runtime in Rust — VM, assembler, disassembler, A2A. 13 tests, zero deps.|Rust|false|false
pythagorean48|2026-05-06T05:34:19Z|2026-05-08T04:11:27Z|Exact 6-bit vector encoding for ARM64 edge. 8 components per uint64, zero drift, 80M queries/s on Jetson.|Python|false|false
spline-physics|2026-05-05T23:32:12Z|2026-05-08T04:10:42Z||Makefile|false|false
greenhorn-onboarding|2026-04-11T06:54:09Z|2026-05-08T04:10:32Z|🟢 Point an agent here. Give it a PAT. Watch it find its place. Zero-config fleet onboarding for the Cocapn Fleet.|Python|false|false
smart-agent-shell|2026-05-07T10:01:40Z|2026-05-08T04:09:57Z|Template shell for fleet agents — fork, configure PAT, start working|Python|false|false
constraint-theory-research|2026-03-27T05:09:16Z|2026-05-08T04:09:54Z|Mathematical foundations and research papers for Constraint Theory|Python|false|false
Equipment-Swarm-Coordinator-Ruby|2026-05-03T21:01:02Z|2026-05-08T00:10:06Z|Ruby gem of Equipment-Swarm-Coordinator - Agent orchestration with asymmetric knowledge distribution|Ruby|false|false
