deckboss-marketplace|2026-04-10T07:20:58Z|2026-04-13T17:25:22Z|Vendor marketplace for deckboss ecosystem — 3D printers, CNC, parts, tiered fees|Python|true|false
cuda-swarm-tiler|2026-04-10T07:20:44Z|2026-04-13T17:25:20Z|Rust+CUDA Monte Carlo yield simulation for MoE swarm chips|Rust|true|false
equipment-catalog|2026-04-10T08:03:16Z|2026-04-13T17:25:17Z|Browse and install equipment for vessels|TypeScript|true|false
emergence-bus-v2|2026-04-10T07:21:28Z|2026-04-13T17:25:12Z|Event bus for fleet-wide emergence detection and pattern recognition|TypeScript|true|false
epiphany-engine|2026-04-10T08:03:10Z|2026-04-13T17:25:11Z|Swarm problem-solving — decompose, assign, synthesize fleet breakthroughs|TypeScript|true|false
energy-c|2026-04-12T16:16:47Z|2026-04-13T17:25:08Z|Energy management module in C for FLUX fleet power optimization and monitoring|C|true|false
emergence-bus|2026-04-10T07:21:27Z|2026-04-13T17:25:07Z|Event bus for fleet emergence subsystem — decoupled communication|TypeScript|true|false
edgenative-ai|2026-04-10T07:21:26Z|2026-04-13T17:25:05Z|NEXUS Knowledge Vessel — INCREMENTS trust, VM emulator, Rosetta Stone translation|TypeScript|true|false
edge-native-paper|2026-04-10T07:21:13Z|2026-04-13T17:25:04Z|Edge-Native Agent Infrastructure: Zero-Dependency Cloudflare Workers for Harsh Environments|N/A|true|false
deckboss-hardware|2026-04-10T07:20:57Z|2026-04-13T17:25:02Z|Deckboss.net — Preloaded hardware units for the Cocapn ecosystem. Jetson, RPi, accessories. Ship ready.|TypeScript|true|false
edge-boarding-protocol|2026-04-10T07:21:11Z|2026-04-13T17:25:01Z|Edge-Native concept: Edge Boarding Protocol|N/A|true|false
device-discovery|2026-04-10T07:21:00Z|2026-04-13T17:24:59Z|Auto-discover and onboard bare metal devices into the fleet|TypeScript|true|false
doclog-ai|2026-04-10T07:21:03Z|2026-04-13T17:24:56Z|AI document companion — summaries, templates, writing assistant, format conversion|TypeScript|true|false
dogmind-arena|2026-04-10T07:21:05Z|2026-04-13T17:24:54Z|Train AI dog agents — personality, trust, DNA, skills|TypeScript|true|false
dynamic-sandbox|2026-04-10T07:21:10Z|2026-04-13T17:24:53Z|V8 isolate sandbox for untrusted reflex code — sub-ms spin-up|TypeScript|true|false
dependency-scanner|2026-04-10T07:20:59Z|2026-04-13T17:24:50Z|Scan fleet vessels for dependency risks, CVEs, and supply chain issues|TypeScript|true|false
deepseek-chat-vessel|2026-04-13T01:24:41Z|2026-04-13T17:24:48Z|Run-about vessel — high-token iterative work, modify-spread-tool loops, Reasoner reflection|Python|true|false
cuda-workflow|2026-04-11T21:44:45Z|2026-04-13T17:24:47Z|Workflow engine — DAG task graphs, parallel execution, conditional branching, retry (Rust)|Rust|true|false
docs-engine|2026-04-10T07:21:04Z|2026-04-13T17:24:45Z|Auto-generated documentation for every vessel in the fleet|TypeScript|true|false
deepseek-reasoner-vessel|2026-04-13T01:24:32Z|2026-04-13T17:24:44Z|Git-agent vessel for DeepSeek-Reasoner|N/A|true|false
deckboss-fab|2026-04-10T07:20:54Z|2026-04-13T17:24:42Z|CAD/CAM equipment for deckboss — OpenSCAD, FreeCAD, Gazebo, G-code generation|Python|true|false
cuda-schedule|2026-04-11T21:45:33Z|2026-04-13T17:24:40Z|Scheduling — task management, priority queues, recurring events, conflict detection (Rust)|Rust|true|false
