nexus-explainability|2026-04-10T08:05:35Z|2026-04-13T17:56:12Z|XAI — decision logging, audit trails, explanation generation (Cocapn fleet vessel)|Python|true|false
nexus-energy|2026-04-10T08:05:29Z|2026-04-13T17:56:12Z|Energy management — battery simulation, solar modeling, power budget allocation (Cocapn fleet vessel)|Python|true|false
nexus-edge-runtime|2026-04-10T08:05:24Z|2026-04-13T17:56:12Z|Edge runtime for autonomous agents — bytecode VM, INCREMENTS trust, wire protocol, safety system, intent compiler (Cocapn fleet vessel)|Python|true|false
sciencelog-ai|2026-04-10T08:40:07Z|2026-04-13T17:56:10Z|AI science companion — paper summaries, experiment tracking, research notes|TypeScript|true|false
schema-evolution|2026-04-10T08:40:01Z|2026-04-13T17:56:10Z|Cocapn fleet vessel|TypeScript|true|false
reverse-actualization|2026-04-10T08:39:55Z|2026-04-13T17:56:10Z|Reverse Actualization — think backward from the future that already exists|TypeScript|true|false
resonant-consensus|2026-04-10T08:39:49Z|2026-04-13T17:56:10Z|Edge-Native concept: Resonant Consensus Protocol|N/A|true|false
resolve|2026-04-10T08:39:44Z|2026-04-13T17:56:10Z|Resolve — A2A deliberative compilation system. Transmutes intention into computation through multi-agent deliberation. JSON payloads as first-class citizens. Zero dependencies.|Python|true|false
rebac-equipment|2026-04-10T08:39:38Z|2026-04-13T17:56:10Z|Relationship-Based Access Control — Zanzibar model|TypeScript|true|false
protocol-validator|2026-04-10T08:39:26Z|2026-04-13T17:56:10Z|Validate vessel compliance with fleet protocols|TypeScript|true|false
post-human-lang|2026-04-10T08:39:20Z|2026-04-13T17:56:10Z|Post-human programming language RA — 6-round ideation on A2A-native code written BY agents FOR agents. JSON payloads, confidence primitives, self-modifying programs. Language name: Axiom (.axm)|N/A|true|false
playerlog-ai|2026-04-10T08:38:15Z|2026-04-13T17:56:10Z|PlayerLog.ai — AI gaming companion. Session tracking, character management, achievement logging. Part of the Lucineer ecosystem.|TypeScript|true|false
phase-five-research|2026-04-10T08:38:09Z|2026-04-13T17:56:10Z|Phase Five Research|N/A|true|false
personallog-1|2026-04-10T08:37:51Z|2026-04-13T17:56:10Z|personallog.ai — Your personal AI agent living in your repo. Free, open-source, fork-and-deploy.|TypeScript|true|false
personality-engine|2026-04-10T08:37:46Z|2026-04-13T17:56:10Z|Unified personality system for repo-native agents|TypeScript|true|false
persona-forge|2026-04-10T08:37:40Z|2026-04-13T17:56:10Z|Craft and manage AI personas with personality archetypes and mood systems|TypeScript|true|false
persistent-state|2026-04-10T08:37:34Z|2026-04-13T17:56:10Z|Long-duration mission memory — remember last 24h+ of sensor and agent history|TypeScript|true|false
permission-engine|2026-04-10T08:37:28Z|2026-04-13T17:56:10Z|Fine-grained permissions for fleet operations|TypeScript|true|false
seed-nexus-bootstrap|2026-04-10T08:40:19Z|2026-04-13T17:56:09Z|Domain code generator with NEXUS safety tier + reflex bytecode from day one|TypeScript|true|false
reallog-ai|2026-04-10T08:39:32Z|2026-04-13T17:56:09Z|RealLog.ai — AI assistant for real estate. Property analysis, market data, client management. Part of the Lucineer ecosystem.|TypeScript|true|false
petlog-ai|2026-04-10T08:38:03Z|2026-04-13T17:56:09Z|AI pet care companion — health records, feeding schedules, vet reminders, care advice|TypeScript|true|false
technician-paradigm|2026-04-10T08:42:10Z|2026-04-13T17:56:08Z|The human technician in the loop — training, micro-manufacturing economy, trust networks. 5-round RA with GLM-5.1 and DeepSeek. Part of the Lucineer ecosystem.|N/A|true|false
swarm-intuition-v2|2026-04-10T08:41:46Z|2026-04-13T17:56:08Z|Collective decision making — fleet-wide intuition and consensus. Part of the Lucineer Cocapn fleet.|TypeScript|true|false
sovereign-identity|2026-04-10T08:41:11Z|2026-04-13T17:56:08Z|Cryptographic vessel identities — DID/SPIFFE for agent sovereignty. Part of the Lucineer Cocapn fleet.|TypeScript|true|false
shiplog|2026-04-10T08:40:48Z|2026-04-13T17:56:08Z|ShipLog — Package tracker with a repo-agent captain. Powered by cocapn.|N/A|true|false
sensor-fusion|2026-04-10T08:40:36Z|2026-04-13T17:56:08Z|Multi-sensor data fusion for fleet context awareness|TypeScript|true|false
seed-ui|2026-04-10T08:40:25Z|2026-04-13T17:56:08Z|Five presentation layers — spreadsheet, messenger, feed, matrix, research lab|TypeScript|true|false
the-bridge|2026-04-10T08:43:15Z|2026-04-13T17:56:07Z|TUI-first agent interface — the terminal is the bridge, the agent is at the wheel, the human is the Admiral watching|N/A|true|false
taskflow|2026-04-10T08:41:58Z|2026-04-13T17:56:07Z|TaskFlow — Kanban board with a repo-agent project manager. Powered by cocapn.|HTML|true|false
task-batcher|2026-04-10T08:41:52Z|2026-04-13T17:56:07Z|Overnight task batching — queue jobs, execute in bulk, optimize for cost|TypeScript|true|false
swarm-intuition|2026-04-10T08:41:40Z|2026-04-13T17:56:07Z|Fleet learns from loop-closure data — anticipate bottlenecks|TypeScript|true|false
studylog-ai-1|2026-04-10T08:41:35Z|2026-04-13T17:56:07Z|StudyLog.ai — AI study companion. Flashcards, spaced repetition, concept mapping. Part of the Lucineer ecosystem.|TypeScript|true|false
storyboard-engine|2026-04-10T08:41:29Z|2026-04-13T17:56:07Z|Multi-model storyboard: director model plans, animator models execute|TypeScript|true|false
stigmergy|2026-04-10T08:41:23Z|2026-04-13T17:56:07Z|Bio-inspired indirect coordination — pheromone signals, trail following, swarm intelligence for decentralized multi-agent systems. Part of the Lucineer ecosystem.|Python|true|false
startup-ai|2026-04-10T08:41:17Z|2026-04-13T17:56:07Z|Cocapn vessel — accumulated context IS the product|TypeScript|true|false
skill-exchange|2026-04-10T08:41:05Z|2026-04-13T17:56:07Z|Marketplace for sharing and discovering fleet skills and equipment|TypeScript|true|false
skill-evolver|2026-04-10T08:40:59Z|2026-04-13T17:56:07Z|Fleet skill self-evolution — error patterns to proposals to commits|TypeScript|true|false
skill-cartridge-registry|2026-04-10T08:40:53Z|2026-04-13T17:56:07Z|JSON skill cartridge marketplace — discover, rate, install cartridges for any vessel|TypeScript|true|false
sensor-mesh|2026-04-10T08:40:42Z|2026-04-13T17:56:07Z|Manage sensor networks and data flows across bare metal fleet|TypeScript|true|false
self-evolve-ai|2026-04-10T08:40:30Z|2026-04-13T17:56:07Z|A git-agent that tests its own mutations via branch A/B testing. Branches are experiments, commits are iterations, the agent improves itself through natural selection.|TypeScript|true|false
thor-rom|2026-04-10T08:43:39Z|2026-04-13T17:56:05Z|Jetson Thor ROM image builder — JetPack 7, Isaac ROS 4.1, FP4 models, MIG partitioning, A2A server|Python|true|false
the-technician|2026-04-10T08:43:33Z|2026-04-13T17:56:05Z|The Technician Paradigm — white papers on physical AI systems, edge robotics, and technician training networks.|TypeScript|true|false
the-fleet|2026-04-10T08:43:21Z|2026-04-13T17:56:05Z|The Fleet — 60+ AI vessels with composable equipment. Try the live playground.|TypeScript|true|false
flux-telepathy|2026-04-13T01:25:11Z|2026-04-13T17:55:56Z|Agent-to-agent messaging with trust-weighted priority — the nervous system of the fleet|Rust|true|false
mycorrhizal-relay|2026-04-13T01:24:37Z|2026-04-13T17:55:56Z|Mycorrhizal network relay for agent communication — emergent routing via fungal metaphor|C|true|false
seed-mcp-v2|2026-04-13T06:03:40Z|2026-04-13T17:55:55Z|DeepInfra creative MCP — Seed-2.0-Mini as star. 15 tools, playbook, chain-of-models.|Python|true|false
holodeck-cuda-1|2026-04-13T01:24:46Z|2026-04-13T17:55:55Z|GPU-resident holodeck MUD — CUDA combat ticks on Jetson|Cuda|true|false
flux-tools|2026-04-12T16:16:55Z|2026-04-13T17:55:53Z|Python toolchain for FLUX bytecode|Python|true|false
flux-stigmergy-c|2026-04-12T16:16:40Z|2026-04-13T17:55:53Z|Pure C11 stigmergic communication: shared environment traces, decay, waypoints, queries|C|true|false
flux-social-c|2026-04-12T16:16:30Z|2026-04-13T17:55:51Z|Pure C11 social graph: agents, relations, groups, centrality, roles|C|true|false
holodeck-c-1|2026-04-13T01:24:43Z|2026-04-13T17:55:46Z|Pure C99 holodeck MUD — serial bridge for ESP32 gauges|C|true|false
